model,term,coef,se,z_or_t,p_value
H2_ols_log1p,C(operator)[T.EDGE ENERGY II LLC],0.8206912658482737,0.054013719545467694,15.194126098970685,3.867873788733222e-52
H2_ols_log1p,C(operator)[T.ENCANA OIL & GAS (USA) INC],-0.6734709279185034,0.30010180525247737,-2.2441415417408384,0.024823295863025743
H2_ols_log1p,C(operator)[T.ENERPLUS RESOURCES (USA) CORPORATION],-0.05699309376854467,0.02084502116957341,-2.7341346072478476,0.006254446999014028
H2_ols_log1p,C(operator)[T.EOG RESOURCES INC],-0.2683772116018437,0.013038434789750237,-20.58354518234199,3.8543515457665756e-94
H2_ols_log1p,C(operator)[T.EWS 13 DJ BASIN LLC],-0.05101230410256399,0.16625846417564905,-0.30682530574004596,0.7589763455154309
H2_ols_log1p,C(operator)[T.EWS 4 DJ BASIN LLC],1.2841923644338267,0.024051947503639804,53.39244833456786,0.0
H2_ols_log1p,C(operator)[T.EXPEDITION WATER SOLUTIONS COLORADO LLC],-0.9130322129023936,0.024051947503431828,-37.96084341079318,0.0
H2_ols_log1p,C(operator)[T.EXTRACTION OIL & GAS INC],-0.2306945602547279,0.050189762126889345,-4.596446575528447,4.297570992844513e-06
H2_ols_log1p,C(operator)[T.EXTRACTION OIL & GAS LLC],-0.13429898953142652,0.03503122638899143,-3.833693632079921,0.00012623334735311265
H2_ols_log1p,C(operator)[T.FIFTH CREEK ENERGY OPERATING COMPANY LLC],-0.09637464228723297,0.013719472696061937,-7.0246608176782575,2.1458688958922697e-12
H2_ols_log1p,C(operator)[T.FOUNDATION ENERGY MANAGEMENT LLC],0.052114878084603855,0.1575697496837321,0.33074164418745866,0.7408396433882511
H2_ols_log1p,C(operator)[T.FRITZLER RESOURCES INC],3.4345121759828103,0.02043226392914576,168.09259061516056,0.0
H2_ols_log1p,C(operator)[T.FUNDARE RESOURCES OPERATING COMPANY LLC],-0.042727627722231765,0.03373609207529946,-1.2665257027062606,0.20532493334767232
H2_ols_log1p,C(operator)[T.GADECO LLC],0.6747548931100251,0.15643538236289567,4.313313797160941,1.6082559579414106e-05
H2_ols_log1p,C(operator)[T.GENESIS GAS & OIL COLORADO LLC],1.3462153132453443,0.21457379107591323,6.273903753553349,3.521062135081137e-10
H2_ols_log1p,C(operator)[T.GRAND RIVER GATHERING LLC],-0.7478251284842619,0.22859357885081175,-3.271417912277925,0.0010700964929704997
H2_ols_log1p,C(operator)[T.GREAT WESTERN OPERATING COMPANY LLC],0.026351684450275303,0.046628292349411175,0.5651436739910565,0.5719760445618595
H2_ols_log1p,C(operator)[T.GRIZZLY OPERATING LLC],-0.3717353915707584,0.22667906708631752,-1.6399193641872747,0.10102193403165459
